cod_ibge6,ano,equip_total,equip_imagem,equip_manut_vida
110001,2014,40.0,3.0,11.0
110002,2014,540.0,59.0,140.0
110003,2014,13.0,1.0,5.0
110004,2014,1804.0,88.0,487.0
110005,2014,43.0,4.0,7.0
110006,2014,24.0,5.0,7.0
110007,2014,8.0,1.0,3.0
110008,2014,11.0,2.0,4.0
110009,2014,110.0,14.0,31.0
110010,2014,87.0,13.0,16.0
110011,2014,231.0,20.0,13.0
110012,2014,793.0,85.0,179.0
110013,2014,73.0,2.0,15.0
110014,2014,58.0,2.0,16.0
110015,2014,155.0,20.0,47.0
110018,2014,300.0,23.0,23.0
110020,2014,5463.0,369.0,1493.0
110025,2014,52.0,5.0,7.0
110026,2014,13.0,1.0,6.0
110028,2014,97.0,24.0,18.0
110029,2014,28.0,4.0,10.0
110030,2014,1282.0,99.0,150.0
110032,2014,35.0,3.0,7.0
110033,2014,10.0,2.0,1.0
110034,2014,28.0,3.0,3.0
110037,2014,37.0,1.0,4.0
110040,2014,15.0,1.0,6.0
110045,2014,178.0,23.0,55.0
110050,2014,6.0,3.0,0.0
110060,2014,22.0,3.0,5.0
110070,2014,67.0,1.0,24.0
110080,2014,68.0,4.0,2.0
110090,2014,39.0,1.0,5.0
110092,2014,41.0,0.0,0.0
110094,2014,43.0,1.0,18.0
110100,2014,12.0,1.0,5.0
110110,2014,13.0,1.0,0.0
110120,2014,15.0,2.0,5.0
110130,2014,29.0,4.0,14.0
110140,2014,24.0,6.0,5.0
110143,2014,20.0,2.0,10.0
110145,2014,10.0,1.0,1.0
110146,2014,11.0,1.0,2.0
110147,2014,8.0,0.0,2.0
110148,2014,21.0,0.0,4.0
110149,2014,112.0,8.0,17.0
110150,2014,36.0,2.0,10.0
110155,2014,20.0,0.0,7.0
110160,2014,7.0,3.0,0.0
110170,2014,27.0,3.0,8.0
110175,2014,4.0,0.0,0.0
110180,2014,19.0,1.0,5.0
120001,2014,29.0,1.0,9.0
120005,2014,21.0,1.0,6.0
120010,2014,81.0,3.0,11.0
120013,2014,14.0,1.0,0.0
120017,2014,10.0,0.0,5.0
120020,2014,303.0,32.0,96.0
120025,2014,12.0,0.0,2.0
120030,2014,48.0,2.0,17.0
120032,2014,10.0,0.0,0.0
