cod_ibge6,ano,equipes_esf,equipes_ab_outras
110001,2014,6.0,0.0
110002,2014,15.0,0.0
110003,2014,2.0,0.0
110004,2014,9.0,0.0
110005,2014,5.0,0.0
110006,2014,4.0,0.0
110007,2014,3.0,0.0
110008,2014,3.0,0.0
110009,2014,5.0,0.0
110010,2014,8.0,0.0
110011,2014,12.0,0.0
110012,2014,29.0,0.0
110013,2014,8.0,0.0
110014,2014,5.0,0.0
110015,2014,10.0,0.0
110018,2014,8.0,0.0
110020,2014,78.0,0.0
110025,2014,6.0,0.0
110026,2014,2.0,0.0
110028,2014,13.0,0.0
110029,2014,4.0,0.0
110030,2014,32.0,0.0
110032,2014,4.0,0.0
110033,2014,6.0,0.0
110034,2014,2.0,0.0
110037,2014,5.0,0.0
110040,2014,5.0,0.0
110045,2014,3.0,0.0
110050,2014,2.0,0.0
110060,2014,2.0,0.0
110070,2014,4.0,0.0
110080,2014,5.0,0.0
110090,2014,2.0,0.0
110092,2014,4.0,0.0
110094,2014,3.0,0.0
110100,2014,5.0,0.0
110110,2014,2.0,0.0
110120,2014,4.0,0.0
110130,2014,3.0,0.0
110140,2014,4.0,0.0
110143,2014,2.0,0.0
110145,2014,2.0,0.0
110146,2014,0.0,0.0
110147,2014,2.0,0.0
110148,2014,0.0,0.0
110149,2014,8.0,0.0
110150,2014,4.0,0.0
110155,2014,2.0,0.0
110160,2014,5.0,0.0
110170,2014,4.0,0.0
110175,2014,2.0,0.0
110180,2014,3.0,0.0
120001,2014,5.0,0.0
120005,2014,3.0,0.0
120010,2014,9.0,0.0
120013,2014,4.0,0.0
120017,2014,4.0,0.0
120020,2014,41.0,0.0
120025,2014,6.0,0.0
120030,2014,7.0,0.0
120032,2014,3.0,0.0
120033,2014,8.0,0.0
120034,2014,4.0,0.0
120035,2014,5.0,0.0
120038,2014,7.0,0.0
120039,2014,3.0,0.0
120040,2014,59.0,5.0
120042,2014,5.0,0.0
120043,2014,2.0,0.0
120045,2014,8.0,0.0
120050,2014,11.0,0.0
120060,2014,10.0,0.0
120070,2014,6.0,0.0
120080,2014,5.0,0.0
130002,2014,3.0,0.0
130006,2014,2.0,0.0
130008,2014,4.0,0.0
130010,2014,7.0,0.0
130014,2014,7.0,0.0
130020,2014,3.0,0.0
130030,2014,14.0,0.0
130040,2014,4.0,0.0
130050,2014,5.0,0.0
130060,2014,8.0,0.0
130063,2014,4.0,0.0
130068,2014,6.0,0.0
130070,2014,6.0,0.0
130080,2014,9.0,0.0
130083,2014,5.0,0.0
130090,2014,4.0,0.0
130100,2014,3.0,0.0
130110,2014,9.0,0.0
130115,2014,6.0,0.0
130120,2014,25.0,0.0
130130,2014,7.0,0.0
130140,2014,9.0,0.0
130150,2014,8.0,0.0
130160,2014,5.0,0.0
130165,2014,4.0,0.0
130170,2014,10.0,0.0
130180,2014,4.0,0.0
130185,2014,21.0,0.0
130190,2014,30.0,0.0
130195,2014,3.0,0.0
130200,2014,4.0,0.0
130210,2014,4.0,0.0
130220,2014,4.0,0.0
130230,2014,6.0,0.0
130240,2014,8.0,0.0
130250,2014,22.0,0.0
130255,2014,6.0,0.0
130260,2014,212.0,0.0
130270,2014,10.0,0.0
130280,2014,4.0,0.0
130290,2014,18.0,0.0
130300,2014,5.0,0.0
130310,2014,10.0,0.0
