cod_ibge6,internacoes_total,internacoes_icsap,ano
110001,2767.0,1178.0,2014
110002,5937.0,1836.0,2014
110003,616.0,280.0,2014
110004,7200.0,2054.0,2014
110005,2126.0,958.0,2014
110006,1729.0,647.0,2014
110007,493.0,94.0,2014
110008,953.0,369.0,2014
110009,2110.0,799.0,2014
110010,3485.0,1534.0,2014
110011,3411.0,1372.0,2014
110012,10099.0,3301.0,2014
110013,1997.0,627.0,2014
110014,1892.0,1063.0,2014
110015,3080.0,1182.0,2014
110018,3023.0,1030.0,2014
110020,28342.0,4515.0,2014
110025,1070.0,503.0,2014
110026,167.0,65.0,2014
110028,5793.0,2487.0,2014
110029,1026.0,518.0,2014
110030,8215.0,2494.0,2014
110032,1739.0,517.0,2014
110033,1425.0,500.0,2014
110034,978.0,350.0,2014
110037,815.0,375.0,2014
110040,815.0,339.0,2014
110045,1596.0,642.0,2014
110050,905.0,469.0,2014
110060,222.0,93.0,2014
110070,868.0,465.0,2014
110080,1125.0,208.0,2014
110090,206.0,66.0,2014
110092,656.0,182.0,2014
110094,488.0,81.0,2014
110100,522.0,288.0,2014
110110,303.0,54.0,2014
110120,774.0,375.0,2014
110130,1009.0,560.0,2014
110140,1160.0,585.0,2014
110143,377.0,144.0,2014
110145,419.0,135.0,2014
110146,229.0,67.0,2014
110147,254.0,86.0,2014
110148,260.0,54.0,2014
110149,1473.0,547.0,2014
110150,930.0,229.0,2014
110155,187.0,73.0,2014
110160,357.0,121.0,2014
110170,407.0,107.0,2014
110175,301.0,128.0,2014
110180,313.0,138.0,2014
120001,584.0,145.0,2014
120005,400.0,131.0,2014
120010,1869.0,563.0,2014
120013,88.0,17.0,2014
120017,346.0,67.0,2014
120020,9043.0,2506.0,2014
120025,947.0,303.0,2014
120030,1060.0,126.0,2014
120032,124.0,16.0,2014
120033,1094.0,305.0,2014
120034,789.0,327.0,2014
120035,462.0,80.0,2014
120038,1117.0,515.0,2014
120039,454.0,101.0,2014
120040,21849.0,2270.0,2014
120042,1091.0,370.0,2014
120043,187.0,58.0,2014
120045,1220.0,413.0,2014
120050,3745.0,1724.0,2014
120060,2834.0,822.0,2014
120070,1772.0,825.0,2014
120080,528.0,71.0,2014
130002,628.0,163.0,2014
130006,173.0,112.0,2014
130008,194.0,86.0,2014
130010,93.0,20.0,2014
130014,946.0,337.0,2014
130020,31.0,4.0,2014
130030,829.0,170.0,2014
130040,659.0,275.0,2014
130050,1355.0,326.0,2014
130060,1064.0,299.0,2014
130063,799.0,232.0,2014
130068,121.0,27.0,2014
130070,2220.0,742.0,2014
130080,1484.0,389.0,2014
130083,304.0,159.0,2014
130090,210.0,44.0,2014
130100,688.0,191.0,2014
130110,878.0,237.0,2014
130115,111.0,17.0,2014
130120,3877.0,913.0,2014
130130,586.0,240.0,2014
130140,1773.0,512.0,2014
130150,260.0,82.0,2014
130160,372.0,196.0,2014
130165,1034.0,376.0,2014
130170,2068.0,378.0,2014
130180,1083.0,448.0,2014
130185,1726.0,571.0,2014
130190,4863.0,1208.0,2014
130195,349.0,178.0,2014
130200,76.0,5.0,2014
130210,27.0,5.0,2014
130220,417.0,152.0,2014
130230,1097.0,433.0,2014
130240,881.0,380.0,2014
130250,4822.0,990.0,2014
130255,350.0,146.0,2014
130260,91645.0,19597.0,2014
130270,1359.0,285.0,2014
130280,679.0,464.0,2014
130290,2818.0,605.0,2014
130300,429.0,89.0,2014
130310,1046.0,314.0,2014
130320,259.0,61.0,2014
130330,838.0,573.0,2014
130340,6025.0,1056.0,2014
130350,761.0,266.0,2014
130353,1490.0,397.0,2014
130356,931.0,308.0,2014
130360,25.0,3.0,2014
130370,258.0,95.0,2014
130380,349.0,138.0,2014
130390,703.0,217.0,2014
130395,204.0,73.0,2014
130400,393.0,223.0,2014
130406,1801.0,304.0,2014
130410,261.0,69.0,2014
130420,3870.0,744.0,2014
130423,111.0,58.0,2014
130426,39.0,8.0,2014
130430,60.0,21.0,2014
130440,258.0,110.0,2014
140002,477.0,164.0,2014
140005,1129.0,517.0,2014
140010,21027.0,4255.0,2014
140015,686.0,175.0,2014
140017,865.0,191.0,2014
140020,956.0,235.0,2014
140023,548.0,175.0,2014
140028,314.0,74.0,2014
140030,688.0,153.0,2014
140040,685.0,229.0,2014
140045,994.0,278.0,2014
140047,947.0,296.0,2014
140050,497.0,200.0,2014
140060,419.0,216.0,2014
140070,676.0,215.0,2014
150010,10155.0,3672.0,2014
150013,741.0,386.0,2014
150020,3186.0,735.0,2014
150030,1692.0,628.0,2014
150034,1443.0,656.0,2014
150040,4041.0,1956.0,2014
150050,1631.0,403.0,2014
150060,12739.0,5866.0,2014
150070,1341.0,295.0,2014
150080,34392.0,11334.0,2014
150085,1876.0,669.0,2014
150090,4015.0,1848.0,2014
150095,1768.0,674.0,2014
150100,160.0,50.0,2014
150110,528.0,101.0,2014
150120,2281.0,723.0,2014
150125,388.0,131.0,2014
150130,6143.0,1453.0,2014
150140,71300.0,17514.0,2014
150145,1020.0,356.0,2014
150150,2774.0,424.0,2014
150157,1249.0,558.0,2014
150160,611.0,107.0,2014
150170,11030.0,3506.0,2014
150172,1285.0,551.0,2014
150175,365.0,164.0,2014
150178,2670.0,480.0,2014
150180,6701.0,1325.0,2014
150190,3069.0,1883.0,2014
150195,652.0,81.0,2014
150200,1050.0,379.0,2014
150210,7977.0,2233.0,2014
150215,1915.0,388.0,2014
150220,5252.0,1873.0,2014
150230,5350.0,2746.0,2014
150240,12960.0,3230.0,2014
150250,275.0,29.0,2014
150260,337.0,57.0,2014
150270,5151.0,1919.0,2014
150275,1456.0,373.0,2014
150276,785.0,397.0,2014
150277,1721.0,759.0,2014
150280,1988.0,546.0,2014
150285,320.0,95.0,2014
150290,2055.0,713.0,2014
150293,4102.0,1894.0,2014
150295,2676.0,1311.0,2014
150300,402.0,133.0,2014
150304,1657.0,625.0,2014
150307,1508.0,434.0,2014
150309,1645.0,434.0,2014
150310,1796.0,503.0,2014
150320,2096.0,546.0,2014
150330,6875.0,2454.0,2014
150340,989.0,449.0,2014
150345,3784.0,1988.0,2014
150350,2604.0,870.0,2014
150360,8185.0,3494.0,2014
150370,1854.0,550.0,2014
150375,1485.0,721.0,2014
150380,6124.0,2948.0,2014
150390,2238.0,265.0,2014
150400,2130.0,1004.0,2014
150405,2909.0,1193.0,2014
150410,239.0,42.0,2014
150420,8588.0,1138.0,2014
150430,1703.0,564.0,2014
150440,1003.0,250.0,2014
150442,6386.0,1477.0,2014
150445,1972.0,691.0,2014
150450,1415.0,457.0,2014
150460,1887.0,773.0,2014
150470,4323.0,1722.0,2014
150475,111.0,7.0,2014
150480,3724.0,1130.0,2014
150490,1967.0,626.0,2014
150495,1527.0,640.0,2014
150497,300.0,20.0,2014
150500,517.0,87.0,2014
150503,2588.0,671.0,2014
150506,2713.0,1085.0,2014
150510,3184.0,1346.0,2014
150520,1414.0,398.0,2014
150530,4090.0,807.0,2014
150540,1244.0,412.0,2014
150543,2923.0,1541.0,2014
150548,2237.0,675.0,2014
150549,546.0,312.0,2014
150550,4834.0,895.0,2014
150553,7977.0,1203.0,2014
150555,963.0,450.0,2014
150560,402.0,70.0,2014
150563,829.0,362.0,2014
150565,1220.0,442.0,2014
150570,1635.0,681.0,2014
150580,2454.0,520.0,2014
150590,2044.0,758.0,2014
150600,1281.0,252.0,2014
150610,376.0,63.0,2014
150611,380.0,69.0,2014
150613,5326.0,1374.0,2014
150616,1544.0,519.0,2014
150618,7585.0,4115.0,2014
150619,1981.0,823.0,2014
150620,2038.0,477.0,2014
150630,1235.0,443.0,2014
150635,936.0,147.0,2014
150640,483.0,259.0,2014
150650,6409.0,2615.0,2014
150655,891.0,172.0,2014
150658,1040.0,471.0,2014
150660,2093.0,607.0,2014
150670,3841.0,1598.0,2014
150680,18225.0,3473.0,2014
150690,304.0,36.0,2014
150700,4362.0,2515.0,2014
150710,434.0,71.0,2014
150715,1190.0,411.0,2014
150720,1950.0,720.0,2014
150730,3485.0,1218.0,2014
150740,715.0,142.0,2014
150745,2691.0,1253.0,2014
150746,181.0,27.0,2014
150747,1335.0,414.0,2014
150750,515.0,221.0,2014
150760,2558.0,611.0,2014
150770,1137.0,346.0,2014
150775,795.0,449.0,2014
150780,890.0,393.0,2014
150790,1804.0,663.0,2014
150795,3963.0,702.0,2014
150796,545.0,99.0,2014
150797,1165.0,293.0,2014
150800,3770.0,969.0,2014
150803,2781.0,1140.0,2014
150805,1207.0,502.0,2014
150808,3191.0,1562.0,2014
150810,4215.0,501.0,2014
150812,4384.0,2054.0,2014
150815,3400.0,1123.0,2014
150820,3441.0,1144.0,2014
150830,4704.0,2234.0,2014
150835,700.0,191.0,2014
150840,4155.0,1262.0,2014
160005,88.0,11.0,2014
160010,383.0,123.0,2014
160015,256.0,31.0,2014
160020,688.0,238.0,2014
160021,74.0,12.0,2014
160023,207.0,27.0,2014
160025,159.0,33.0,2014
160027,2992.0,713.0,2014
160030,20736.0,4321.0,2014
160040,707.0,128.0,2014
160050,1495.0,354.0,2014
160053,1027.0,442.0,2014
160055,59.0,13.0,2014
160060,5850.0,1566.0,2014
160070,214.0,41.0,2014
160080,477.0,65.0,2014
170025,159.0,27.0,2014
170030,218.0,40.0,2014
170035,353.0,39.0,2014
170040,371.0,55.0,2014
170070,1367.0,503.0,2014
170100,610.0,148.0,2014
170105,123.0,22.0,2014
170110,313.0,46.0,2014
170130,227.0,37.0,2014
170190,484.0,171.0,2014
170200,1505.0,702.0,2014
170210,12491.0,2489.0,2014
170215,259.0,84.0,2014
170220,2119.0,635.0,2014
170230,678.0,320.0,2014
170240,466.0,156.0,2014
170255,1371.0,421.0,2014
170270,108.0,30.0,2014
170290,704.0,244.0,2014
170300,337.0,54.0,2014
170305,140.0,32.0,2014
170307,250.0,31.0,2014
170310,312.0,37.0,2014
170320,255.0,89.0,2014
170330,442.0,164.0,2014
170360,107.0,31.0,2014
170370,512.0,109.0,2014
170380,438.0,140.0,2014
170382,95.0,16.0,2014
170384,344.0,48.0,2014
170386,177.0,24.0,2014
170388,154.0,20.0,2014
170389,241.0,71.0,2014
170390,265.0,44.0,2014
170410,133.0,35.0,2014
170460,106.0,25.0,2014
170510,219.0,39.0,2014
170550,2789.0,909.0,2014
170555,146.0,32.0,2014
170560,215.0,29.0,2014
170600,275.0,69.0,2014
170610,437.0,119.0,2014
170625,95.0,17.0,2014
170650,302.0,57.0,2014
170700,1274.0,300.0,2014
170710,533.0,178.0,2014
170720,300.0,47.0,2014
170730,243.0,46.0,2014
170740,447.0,99.0,2014
170755,268.0,64.0,2014
170765,334.0,82.0,2014
170770,319.0,44.0,2014
170820,1388.0,454.0,2014
170825,183.0,32.0,2014
170830,199.0,20.0,2014
170900,886.0,253.0,2014
170930,1454.0,325.0,2014
170950,5488.0,816.0,2014
170980,158.0,33.0,2014
171050,714.0,275.0,2014
171070,238.0,67.0,2014
171090,168.0,35.0,2014
171110,108.0,14.0,2014
171150,158.0,29.0,2014
171180,123.0,29.0,2014
