cod_ibge6,intern_menor5_total,intern_idoso_total,intern_menor5_icsap,intern_idoso_icsap,ano
110001,352.0,615.0,213.0,348.0,2014
110002,858.0,1268.0,544.0,603.0,2014
110003,92.0,136.0,41.0,89.0,2014
110004,724.0,1419.0,389.0,677.0,2014
110005,258.0,421.0,172.0,248.0,2014
110006,198.0,370.0,94.0,213.0,2014
110007,49.0,84.0,16.0,32.0,2014
110008,84.0,200.0,48.0,124.0,2014
110009,297.0,430.0,171.0,241.0,2014
110010,880.0,396.0,716.0,245.0,2014
110011,407.0,756.0,249.0,419.0,2014
110012,1318.0,2112.0,804.0,1120.0,2014
110013,248.0,329.0,159.0,191.0,2014
110014,206.0,441.0,165.0,276.0,2014
110015,271.0,714.0,193.0,390.0,2014
110018,507.0,564.0,261.0,303.0,2014
110020,4343.0,3191.0,1752.0,922.0,2014
110025,123.0,320.0,81.0,185.0,2014
110026,12.0,20.0,8.0,13.0,2014
110028,814.0,1137.0,548.0,686.0,2014
110029,145.0,267.0,89.0,162.0,2014
110030,1329.0,1363.0,598.0,697.0,2014
110032,208.0,338.0,138.0,176.0,2014
110033,192.0,174.0,151.0,114.0,2014
110034,140.0,230.0,93.0,113.0,2014
110037,105.0,146.0,75.0,84.0,2014
110040,103.0,177.0,68.0,83.0,2014
110045,173.0,377.0,105.0,204.0,2014
110050,102.0,232.0,83.0,159.0,2014
110060,26.0,67.0,17.0,33.0,2014
110070,88.0,151.0,69.0,101.0,2014
110080,177.0,171.0,80.0,56.0,2014
110090,17.0,57.0,12.0,28.0,2014
110092,129.0,90.0,60.0,46.0,2014
110094,54.0,54.0,22.0,22.0,2014
110100,70.0,124.0,46.0,89.0,2014
110110,37.0,59.0,22.0,16.0,2014
110120,106.0,166.0,83.0,96.0,2014
110130,75.0,215.0,54.0,140.0,2014
110140,141.0,284.0,104.0,160.0,2014
110143,20.0,77.0,10.0,45.0,2014
110145,50.0,65.0,28.0,27.0,2014
110146,26.0,37.0,7.0,20.0,2014
110147,19.0,75.0,13.0,44.0,2014
110148,18.0,52.0,6.0,20.0,2014
110149,194.0,265.0,131.0,175.0,2014
110150,62.0,153.0,8.0,76.0,2014
110155,10.0,56.0,2.0,27.0,2014
110160,32.0,92.0,14.0,38.0,2014
110170,55.0,93.0,20.0,38.0,2014
110175,30.0,83.0,17.0,54.0,2014
110180,30.0,81.0,16.0,47.0,2014
120001,61.0,88.0,32.0,31.0,2014
120005,53.0,49.0,43.0,26.0,2014
120010,156.0,287.0,113.0,166.0,2014
120013,14.0,12.0,8.0,7.0,2014
120017,30.0,49.0,14.0,15.0,2014
120020,1111.0,1056.0,645.0,376.0,2014
120025,82.0,156.0,63.0,103.0,2014
120030,80.0,112.0,40.0,34.0,2014
120032,19.0,10.0,9.0,3.0,2014
120033,89.0,163.0,40.0,93.0,2014
120034,144.0,98.0,104.0,65.0,2014
120035,54.0,36.0,29.0,11.0,2014
120038,143.0,181.0,117.0,91.0,2014
120039,33.0,36.0,15.0,17.0,2014
120040,1166.0,3076.0,322.0,934.0,2014
120042,119.0,106.0,80.0,60.0,2014
120043,55.0,15.0,34.0,7.0,2014
120045,149.0,259.0,61.0,117.0,2014
120050,680.0,506.0,545.0,323.0,2014
120060,359.0,311.0,286.0,184.0,2014
120070,248.0,354.0,174.0,223.0,2014
120080,45.0,92.0,14.0,21.0,2014
130002,49.0,58.0,33.0,33.0,2014
130006,35.0,25.0,30.0,19.0,2014
130008,32.0,16.0,29.0,8.0,2014
130010,23.0,8.0,13.0,2.0,2014
130014,99.0,147.0,82.0,86.0,2014
130020,2.0,0.0,1.0,0.0,2014
130030,71.0,47.0,31.0,32.0,2014
130040,100.0,125.0,77.0,81.0,2014
130050,203.0,132.0,135.0,73.0,2014
130060,104.0,81.0,85.0,62.0,2014
130063,77.0,74.0,51.0,53.0,2014
130068,13.0,13.0,6.0,7.0,2014
130070,174.0,271.0,120.0,163.0,2014
130080,137.0,149.0,91.0,100.0,2014
130083,23.0,53.0,16.0,38.0,2014
130090,10.0,14.0,5.0,6.0,2014
130100,47.0,75.0,37.0,43.0,2014
130110,36.0,193.0,25.0,95.0,2014
130115,13.0,7.0,10.0,0.0,2014
130120,485.0,399.0,311.0,223.0,2014
130130,74.0,71.0,58.0,51.0,2014
130140,139.0,174.0,106.0,112.0,2014
130150,34.0,32.0,28.0,20.0,2014
130160,85.0,62.0,69.0,37.0,2014
130165,99.0,128.0,61.0,75.0,2014
130170,153.0,303.0,91.0,150.0,2014
130180,193.0,89.0,154.0,63.0,2014
130185,296.0,240.0,197.0,139.0,2014
130190,557.0,465.0,401.0,317.0,2014
130195,41.0,27.0,32.0,18.0,2014
130200,5.0,6.0,1.0,1.0,2014
130210,4.0,1.0,2.0,0.0,2014
130220,62.0,35.0,44.0,16.0,2014
130230,150.0,86.0,136.0,71.0,2014
130240,99.0,144.0,74.0,84.0,2014
130250,392.0,544.0,271.0,300.0,2014
130255,68.0,36.0,53.0,23.0,2014
130260,13015.0,12099.0,7737.0,5055.0,2014
130270,80.0,152.0,58.0,90.0,2014
130280,72.0,75.0,68.0,70.0,2014
130290,196.0,287.0,151.0,157.0,2014
130300,42.0,39.0,21.0,20.0,2014
130310,83.0,136.0,64.0,95.0,2014
130320,46.0,21.0,29.0,10.0,2014
130330,120.0,159.0,107.0,125.0,2014
130340,718.0,728.0,365.0,280.0,2014
130350,44.0,68.0,25.0,41.0,2014
130353,181.0,136.0,139.0,58.0,2014
130356,103.0,140.0,75.0,77.0,2014
130360,3.0,6.0,0.0,1.0,2014
130370,46.0,25.0,39.0,19.0,2014
130380,57.0,53.0,42.0,39.0,2014
130390,85.0,56.0,64.0,33.0,2014
130395,23.0,23.0,16.0,12.0,2014
130400,48.0,50.0,44.0,46.0,2014
130406,221.0,138.0,135.0,71.0,2014
130410,12.0,34.0,7.0,27.0,2014
130420,350.0,384.0,209.0,236.0,2014
130423,28.0,15.0,16.0,5.0,2014
130426,9.0,3.0,2.0,2.0,2014
130430,8.0,6.0,4.0,1.0,2014
130440,27.0,40.0,16.0,23.0,2014
140002,154.0,33.0,106.0,16.0,2014
140005,372.0,93.0,308.0,66.0,2014
140010,2955.0,1994.0,1535.0,924.0,2014
140015,140.0,41.0,81.0,24.0,2014
140017,155.0,64.0,89.0,33.0,2014
140020,144.0,98.0,80.0,50.0,2014
140023,50.0,76.0,17.0,55.0,2014
140028,65.0,17.0,45.0,9.0,2014
140030,95.0,83.0,59.0,44.0,2014
140040,155.0,57.0,99.0,43.0,2014
140045,255.0,75.0,127.0,45.0,2014
140047,135.0,100.0,90.0,61.0,2014
140050,45.0,89.0,29.0,56.0,2014
140060,69.0,95.0,43.0,68.0,2014
140070,227.0,21.0,170.0,10.0,2014
150010,826.0,1826.0,485.0,1211.0,2014
150013,104.0,115.0,83.0,78.0,2014
150020,366.0,355.0,238.0,169.0,2014
150030,446.0,114.0,348.0,58.0,2014
150034,136.0,274.0,79.0,169.0,2014
150040,573.0,670.0,487.0,480.0,2014
150050,147.0,183.0,98.0,106.0,2014
150060,2390.0,1965.0,1883.0,1311.0,2014
150070,123.0,138.0,72.0,68.0,2014
150080,3017.0,4719.0,1745.0,2274.0,2014
150085,269.0,248.0,202.0,160.0,2014
150090,685.0,521.0,485.0,326.0,2014
150095,194.0,290.0,134.0,213.0,2014
150100,18.0,32.0,8.0,16.0,2014
150110,89.0,71.0,26.0,35.0,2014
150120,346.0,237.0,186.0,160.0,2014
150125,31.0,53.0,19.0,28.0,2014
150130,813.0,714.0,517.0,351.0,2014
150140,10026.0,11260.0,6612.0,4132.0,2014
150145,104.0,210.0,59.0,133.0,2014
150150,259.0,368.0,95.0,155.0,2014
150157,188.0,248.0,135.0,149.0,2014
150160,26.0,68.0,16.0,29.0,2014
150170,2074.0,1484.0,1291.0,664.0,2014
150172,130.0,218.0,90.0,122.0,2014
150175,35.0,66.0,27.0,37.0,2014
150178,313.0,351.0,111.0,149.0,2014
150180,1065.0,692.0,449.0,319.0,2014
150190,604.0,409.0,483.0,322.0,2014
150195,39.0,58.0,18.0,20.0,2014
150200,120.0,171.0,83.0,104.0,2014
150210,1228.0,1222.0,694.0,651.0,2014
150215,177.0,158.0,105.0,91.0,2014
150220,437.0,761.0,351.0,369.0,2014
150230,600.0,892.0,491.0,590.0,2014
150240,2084.0,1652.0,1285.0,730.0,2014
150250,36.0,14.0,15.0,5.0,2014
150260,21.0,60.0,5.0,24.0,2014
150270,472.0,1068.0,270.0,577.0,2014
150275,204.0,191.0,129.0,103.0,2014
150276,98.0,95.0,72.0,56.0,2014
150277,237.0,321.0,183.0,196.0,2014
150280,282.0,228.0,180.0,122.0,2014
150285,27.0,29.0,10.0,18.0,2014
150290,312.0,374.0,208.0,192.0,2014
150293,521.0,506.0,420.0,329.0,2014
150295,334.0,403.0,272.0,292.0,2014
150300,21.0,45.0,18.0,31.0,2014
150304,168.0,263.0,105.0,150.0,2014
150307,157.0,195.0,107.0,97.0,2014
150309,164.0,182.0,77.0,99.0,2014
150310,224.0,156.0,150.0,85.0,2014
150320,270.0,354.0,152.0,186.0,2014
150330,813.0,951.0,522.0,426.0,2014
150340,178.0,125.0,120.0,81.0,2014
150345,503.0,488.0,426.0,311.0,2014
150350,305.0,510.0,163.0,305.0,2014
150360,1036.0,1277.0,720.0,844.0,2014
150370,313.0,186.0,209.0,105.0,2014
150375,282.0,136.0,245.0,91.0,2014
150380,724.0,964.0,560.0,629.0,2014
150390,168.0,224.0,44.0,86.0,2014
150400,340.0,319.0,263.0,192.0,2014
150405,433.0,436.0,330.0,251.0,2014
150410,26.0,33.0,14.0,13.0,2014
150420,975.0,948.0,411.0,324.0,2014
150430,200.0,340.0,106.0,208.0,2014
150440,124.0,149.0,65.0,59.0,2014
150442,936.0,928.0,509.0,381.0,2014
150445,199.0,394.0,127.0,204.0,2014
150450,307.0,152.0,189.0,87.0,2014
150460,275.0,249.0,197.0,155.0,2014
150470,628.0,460.0,457.0,267.0,2014
150475,12.0,9.0,4.0,0.0,2014
150480,477.0,540.0,257.0,273.0,2014
150490,276.0,284.0,183.0,173.0,2014
150495,257.0,186.0,168.0,98.0,2014
150497,30.0,28.0,7.0,7.0,2014
150500,27.0,89.0,11.0,30.0,2014
150503,453.0,239.0,121.0,124.0,2014
150506,400.0,366.0,331.0,226.0,2014
150510,413.0,499.0,306.0,353.0,2014
150520,209.0,130.0,122.0,63.0,2014
150530,496.0,577.0,227.0,286.0,2014
150540,132.0,226.0,95.0,136.0,2014
150543,561.0,329.0,511.0,238.0,2014
150548,281.0,303.0,185.0,164.0,2014
150549,75.0,118.0,55.0,93.0,2014
150550,489.0,410.0,296.0,162.0,2014
150553,954.0,695.0,359.0,347.0,2014
150555,100.0,211.0,67.0,147.0,2014
150560,19.0,48.0,11.0,18.0,2014
150563,128.0,128.0,70.0,84.0,2014
150565,155.0,183.0,93.0,96.0,2014
150570,275.0,262.0,219.0,147.0,2014
150580,309.0,270.0,195.0,129.0,2014
150590,281.0,233.0,197.0,163.0,2014
150600,127.0,137.0,55.0,65.0,2014
150610,23.0,41.0,16.0,12.0,2014
150611,22.0,35.0,15.0,12.0,2014
150613,863.0,741.0,535.0,276.0,2014
150616,137.0,348.0,68.0,204.0,2014
150618,799.0,1067.0,556.0,750.0,2014
150619,220.0,363.0,180.0,197.0,2014
150620,227.0,286.0,151.0,139.0,2014
150630,133.0,187.0,83.0,121.0,2014
150635,68.0,127.0,31.0,49.0,2014
150640,53.0,60.0,13.0,41.0,2014
150650,1103.0,891.0,636.0,555.0,2014
150655,56.0,100.0,37.0,34.0,2014
150658,75.0,173.0,45.0,97.0,2014
150660,273.0,296.0,195.0,104.0,2014
150670,447.0,551.0,372.0,358.0,2014
150680,2174.0,2646.0,1150.0,951.0,2014
150690,24.0,44.0,7.0,14.0,2014
150700,778.0,663.0,705.0,407.0,2014
150710,35.0,77.0,9.0,29.0,2014
150715,157.0,193.0,97.0,98.0,2014
150720,348.0,237.0,235.0,127.0,2014
150730,368.0,568.0,259.0,297.0,2014
150740,80.0,88.0,33.0,37.0,2014
150745,471.0,492.0,288.0,324.0,2014
150746,24.0,19.0,11.0,6.0,2014
150747,106.0,251.0,75.0,139.0,2014
150750,79.0,62.0,66.0,35.0,2014
150760,315.0,333.0,177.0,153.0,2014
150770,174.0,122.0,127.0,82.0,2014
150775,101.0,103.0,87.0,68.0,2014
150780,173.0,127.0,132.0,86.0,2014
150790,224.0,278.0,161.0,164.0,2014
150795,363.0,340.0,209.0,174.0,2014
150796,66.0,66.0,34.0,27.0,2014
150797,64.0,158.0,33.0,89.0,2014
150800,404.0,455.0,248.0,274.0,2014
150803,541.0,458.0,357.0,251.0,2014
150805,128.0,152.0,80.0,97.0,2014
150808,473.0,457.0,385.0,291.0,2014
150810,313.0,436.0,142.0,165.0,2014
150812,763.0,470.0,515.0,297.0,2014
150815,423.0,515.0,263.0,313.0,2014
150820,475.0,472.0,344.0,246.0,2014
150830,794.0,611.0,662.0,397.0,2014
150835,101.0,95.0,52.0,54.0,2014
150840,397.0,667.0,157.0,281.0,2014
160005,11.0,2.0,6.0,0.0,2014
160010,52.0,49.0,33.0,31.0,2014
160015,34.0,12.0,20.0,2.0,2014
160020,90.0,88.0,61.0,57.0,2014
160021,12.0,8.0,7.0,3.0,2014
160023,24.0,13.0,14.0,3.0,2014
160025,31.0,10.0,23.0,6.0,2014
160027,349.0,275.0,215.0,133.0,2014
160030,2793.0,2567.0,1833.0,1036.0,2014
160040,101.0,55.0,63.0,23.0,2014
160050,233.0,117.0,121.0,49.0,2014
160053,159.0,140.0,127.0,94.0,2014
160055,12.0,2.0,6.0,1.0,2014
160060,1118.0,645.0,753.0,343.0,2014
160070,40.0,11.0,26.0,5.0,2014
160080,49.0,32.0,35.0,12.0,2014
170025,17.0,32.0,4.0,10.0,2014
170030,11.0,48.0,5.0,20.0,2014
170035,28.0,82.0,7.0,20.0,2014
170040,30.0,83.0,9.0,29.0,2014
170070,154.0,266.0,92.0,141.0,2014
170100,68.0,134.0,32.0,59.0,2014
170105,5.0,32.0,3.0,14.0,2014
170110,46.0,34.0,12.0,14.0,2014
170130,15.0,46.0,2.0,17.0,2014
170190,54.0,115.0,31.0,57.0,2014
170200,99.0,399.0,73.0,268.0,2014
170210,1882.0,2319.0,958.0,812.0,2014
170215,25.0,60.0,15.0,38.0,2014
170220,235.0,387.0,140.0,231.0,2014
170230,93.0,161.0,66.0,107.0,2014
170240,37.0,100.0,25.0,59.0,2014
170255,177.0,258.0,109.0,133.0,2014
170270,2.0,19.0,0.0,10.0,2014
170290,166.0,102.0,111.0,47.0,2014
170300,34.0,67.0,13.0,23.0,2014
170305,14.0,30.0,9.0,13.0,2014
170307,22.0,40.0,4.0,14.0,2014
170310,16.0,67.0,2.0,22.0,2014
170320,50.0,50.0,29.0,29.0,2014
170330,70.0,52.0,44.0,32.0,2014
170360,15.0,20.0,10.0,7.0,2014
170370,46.0,102.0,25.0,45.0,2014
170380,52.0,80.0,36.0,50.0,2014
170382,7.0,18.0,2.0,9.0,2014
170384,54.0,35.0,15.0,18.0,2014
170386,12.0,31.0,2.0,10.0,2014
170388,21.0,26.0,9.0,9.0,2014
170389,35.0,49.0,25.0,22.0,2014
170390,26.0,57.0,11.0,22.0,2014
170410,7.0,32.0,2.0,18.0,2014
170460,16.0,17.0,4.0,9.0,2014
170510,20.0,51.0,8.0,22.0,2014
170550,367.0,596.0,208.0,312.0,2014
170555,7.0,22.0,3.0,11.0,2014
170560,16.0,34.0,2.0,10.0,2014
170600,20.0,40.0,8.0,18.0,2014
170610,47.0,109.0,22.0,64.0,2014
170625,11.0,11.0,6.0,2.0,2014
170650,29.0,47.0,8.0,21.0,2014
170700,122.0,234.0,53.0,121.0,2014
170710,68.0,144.0,37.0,76.0,2014
170720,18.0,75.0,8.0,19.0,2014
170730,24.0,59.0,8.0,24.0,2014
170740,45.0,57.0,21.0,34.0,2014
170755,23.0,52.0,12.0,22.0,2014
170765,28.0,64.0,10.0,30.0,2014
170770,32.0,62.0,8.0,21.0,2014
170820,189.0,261.0,129.0,155.0,2014
170825,16.0,23.0,4.0,16.0,2014
170830,13.0,32.0,2.0,12.0,2014
170900,152.0,164.0,48.0,97.0,2014
170930,125.0,297.0,40.0,175.0,2014
170950,497.0,914.0,191.0,341.0,2014
170980,16.0,44.0,8.0,15.0,2014
171050,108.0,130.0,76.0,74.0,2014
171070,26.0,41.0,10.0,27.0,2014
171090,9.0,37.0,2.0,18.0,2014
171110,7.0,19.0,0.0,11.0,2014
171150,9.0,34.0,3.0,17.0,2014
