cod_ibge6,leitos_internacao,leitos_internacao_sus,ano
110001,51.0,45.0,2014
110002,234.0,90.0,2014
110003,8.0,8.0,2014
110004,329.0,236.0,2014
110005,40.0,40.0,2014
110006,56.0,55.0,2014
110007,16.0,16.0,2014
110008,45.0,45.0,2014
110009,54.0,36.0,2014
110010,120.0,107.0,2014
110011,97.0,86.0,2014
110012,248.0,137.0,2014
110013,44.0,44.0,2014
110014,44.0,44.0,2014
110015,104.0,62.0,2014
110018,58.0,46.0,2014
110020,1654.0,1179.0,2014
110025,49.0,49.0,2014
110026,12.0,12.0,2014
110028,102.0,86.0,2014
110029,25.0,25.0,2014
110030,215.0,188.0,2014
110032,44.0,44.0,2014
110033,42.0,42.0,2014
110034,35.0,35.0,2014
110037,16.0,16.0,2014
110040,15.0,15.0,2014
110045,59.0,32.0,2014
110050,18.0,18.0,2014
110060,26.0,26.0,2014
110070,19.0,19.0,2014
110080,15.0,15.0,2014
110090,7.0,7.0,2014
110092,10.0,10.0,2014
110094,11.0,11.0,2014
110100,21.0,21.0,2014
110110,20.0,20.0,2014
110120,16.0,16.0,2014
110130,41.0,25.0,2014
110140,40.0,40.0,2014
110143,18.0,18.0,2014
110145,8.0,8.0,2014
110146,9.0,9.0,2014
110148,16.0,16.0,2014
110149,35.0,35.0,2014
110150,36.0,36.0,2014
110155,9.0,9.0,2014
110160,13.0,13.0,2014
110170,25.0,25.0,2014
110175,12.0,12.0,2014
110180,16.0,16.0,2014
120001,16.0,16.0,2014
120005,12.0,12.0,2014
120010,42.0,42.0,2014
120020,210.0,194.0,2014
120030,29.0,29.0,2014
120032,10.0,10.0,2014
120033,25.0,25.0,2014
120034,23.0,23.0,2014
120035,13.0,13.0,2014
120038,40.0,40.0,2014
120039,14.0,14.0,2014
120040,768.0,619.0,2014
120042,15.0,15.0,2014
120043,15.0,15.0,2014
120045,32.0,32.0,2014
120050,54.0,54.0,2014
120060,42.0,42.0,2014
120070,25.0,25.0,2014
130002,22.0,22.0,2014
130006,19.0,19.0,2014
130008,20.0,20.0,2014
130010,23.0,23.0,2014
130014,42.0,42.0,2014
130020,30.0,30.0,2014
130030,31.0,31.0,2014
130040,30.0,30.0,2014
130050,32.0,32.0,2014
130060,34.0,34.0,2014
130063,13.0,13.0,2014
130068,20.0,20.0,2014
130070,61.0,61.0,2014
130080,38.0,38.0,2014
130083,13.0,13.0,2014
130090,16.0,16.0,2014
130100,50.0,50.0,2014
130110,20.0,20.0,2014
130120,103.0,103.0,2014
130130,44.0,44.0,2014
130140,80.0,80.0,2014
130150,21.0,21.0,2014
130160,36.0,36.0,2014
130165,19.0,19.0,2014
130170,39.0,39.0,2014
130180,26.0,26.0,2014
130185,32.0,32.0,2014
130190,108.0,108.0,2014
130195,15.0,15.0,2014
130200,18.0,18.0,2014
130210,20.0,20.0,2014
130220,20.0,20.0,2014
130230,19.0,19.0,2014
130240,50.0,50.0,2014
130250,78.0,78.0,2014
130255,12.0,12.0,2014
130260,3448.0,2562.0,2014
130270,60.0,60.0,2014
130280,20.0,20.0,2014
130290,90.0,90.0,2014
130300,30.0,30.0,2014
130310,30.0,30.0,2014
130320,20.0,20.0,2014
130330,31.0,31.0,2014
130340,140.0,140.0,2014
130350,16.0,16.0,2014
130353,35.0,29.0,2014
130356,29.0,29.0,2014
130360,20.0,20.0,2014
130370,52.0,24.0,2014
130380,103.0,97.0,2014
130390,20.0,20.0,2014
130395,20.0,20.0,2014
130400,20.0,20.0,2014
130406,47.0,47.0,2014
130410,35.0,35.0,2014
130420,109.0,97.0,2014
130423,33.0,33.0,2014
130426,20.0,20.0,2014
130430,40.0,40.0,2014
130440,32.0,32.0,2014
140005,34.0,34.0,2014
140010,675.0,620.0,2014
140015,15.0,15.0,2014
140020,28.0,28.0,2014
140023,16.0,16.0,2014
140028,7.0,7.0,2014
140030,23.0,23.0,2014
140040,21.0,21.0,2014
140045,14.0,12.0,2014
140047,51.0,51.0,2014
140050,14.0,14.0,2014
140060,8.0,8.0,2014
150010,251.0,173.0,2014
150013,17.0,17.0,2014
150020,33.0,33.0,2014
150030,30.0,30.0,2014
150034,43.0,43.0,2014
150040,127.0,100.0,2014
150050,94.0,87.0,2014
150060,312.0,246.0,2014
150070,20.0,20.0,2014
150080,1129.0,782.0,2014
150085,20.0,20.0,2014
150090,117.0,100.0,2014
150095,64.0,64.0,2014
150120,30.0,30.0,2014
150125,10.0,10.0,2014
150130,89.0,71.0,2014
150140,4785.0,2478.0,2014
150145,20.0,20.0,2014
150150,56.0,56.0,2014
150157,31.0,31.0,2014
150170,354.0,266.0,2014
150172,55.0,51.0,2014
150175,24.0,24.0,2014
150178,58.0,44.0,2014
150180,157.0,157.0,2014
150190,43.0,28.0,2014
150200,20.0,20.0,2014
150210,183.0,156.0,2014
150215,71.0,44.0,2014
150220,398.0,112.0,2014
150230,190.0,147.0,2014
150240,492.0,430.0,2014
150250,9.0,9.0,2014
150270,173.0,157.0,2014
150275,25.0,25.0,2014
150276,11.0,11.0,2014
150277,50.0,50.0,2014
150280,25.0,25.0,2014
150290,27.0,27.0,2014
150293,81.0,75.0,2014
150295,41.0,41.0,2014
150300,10.0,10.0,2014
150304,20.0,20.0,2014
150307,5.0,5.0,2014
150309,82.0,24.0,2014
150310,23.0,23.0,2014
150320,45.0,45.0,2014
150330,142.0,115.0,2014
150340,20.0,20.0,2014
150345,55.0,55.0,2014
150350,42.0,42.0,2014
150360,431.0,145.0,2014
150370,91.0,53.0,2014
150375,24.0,24.0,2014
150380,120.0,103.0,2014
150390,57.0,34.0,2014
150400,20.0,20.0,2014
150405,52.0,52.0,2014
150420,273.0,185.0,2014
150430,27.0,27.0,2014
150440,18.0,18.0,2014
150442,155.0,108.0,2014
150445,41.0,41.0,2014
150450,15.0,15.0,2014
150460,27.0,27.0,2014
150470,50.0,50.0,2014
150480,81.0,64.0,2014
150490,26.0,26.0,2014
150495,32.0,32.0,2014
150497,15.0,15.0,2014
150503,42.0,34.0,2014
150506,54.0,54.0,2014
150510,80.0,80.0,2014
150520,15.0,15.0,2014
150530,79.0,64.0,2014
150540,24.0,24.0,2014
150543,52.0,50.0,2014
150548,29.0,29.0,2014
150549,20.0,20.0,2014
150550,246.0,111.0,2014
150553,295.0,69.0,2014
150555,22.0,22.0,2014
150563,20.0,20.0,2014
150565,29.0,29.0,2014
150570,20.0,20.0,2014
150580,29.0,29.0,2014
150590,49.0,49.0,2014
150600,20.0,20.0,2014
150613,275.0,176.0,2014
150616,70.0,29.0,2014
150618,142.0,136.0,2014
150619,27.0,27.0,2014
150620,87.0,82.0,2014
150630,19.0,19.0,2014
150640,15.0,15.0,2014
150650,130.0,130.0,2014
150658,23.0,23.0,2014
150660,35.0,35.0,2014
150670,60.0,60.0,2014
150680,522.0,407.0,2014
150700,85.0,69.0,2014
150710,20.0,20.0,2014
150715,48.0,21.0,2014
150720,31.0,31.0,2014
150730,98.0,91.0,2014
150745,41.0,41.0,2014
150747,24.0,24.0,2014
150750,16.0,16.0,2014
150760,162.0,148.0,2014
150770,32.0,32.0,2014
150775,11.0,11.0,2014
150780,15.0,15.0,2014
150790,48.0,48.0,2014
150795,40.0,40.0,2014
150797,21.0,21.0,2014
150800,171.0,150.0,2014
150803,15.0,15.0,2014
150805,21.0,21.0,2014
150808,157.0,113.0,2014
150810,304.0,222.0,2014
150812,89.0,83.0,2014
150815,61.0,58.0,2014
150820,35.0,35.0,2014
150830,65.0,65.0,2014
150835,16.0,16.0,2014
150840,152.0,60.0,2014
160005,30.0,30.0,2014
160010,37.0,37.0,2014
160015,15.0,15.0,2014
160020,20.0,20.0,2014
160023,12.0,12.0,2014
160027,47.0,47.0,2014
160030,754.0,628.0,2014
160040,14.0,14.0,2014
160050,41.0,41.0,2014
160053,34.0,34.0,2014
160060,103.0,83.0,2014
160070,10.0,10.0,2014
160080,8.0,8.0,2014
170070,20.0,20.0,2014
170100,14.0,14.0,2014
170190,17.0,17.0,2014
170200,26.0,26.0,2014
170210,549.0,459.0,2014
170220,25.0,25.0,2014
170230,27.0,27.0,2014
170240,38.0,38.0,2014
170255,93.0,93.0,2014
170370,5.0,5.0,2014
170550,73.0,61.0,2014
170610,7.0,7.0,2014
170700,39.0,39.0,2014
170710,14.0,14.0,2014
170730,5.0,5.0,2014
170765,5.0,5.0,2014
170820,40.0,40.0,2014
170900,10.0,10.0,2014
170930,54.0,54.0,2014
170950,215.0,101.0,2014
171050,27.0,27.0,2014
171070,6.0,6.0,2014
171190,30.0,30.0,2014
171320,68.0,68.0,2014
171330,26.0,26.0,2014
171360,5.0,5.0,2014
171420,9.0,9.0,2014
171430,31.0,31.0,2014
171575,5.0,5.0,2014
171610,80.0,70.0,2014
171620,24.0,24.0,2014
171650,31.0,31.0,2014
