cod_ibge6,ano,leitos_uti,leitos_complementares
110002,2014,17.0,51.0
110004,2014,27.0,27.0
110005,2014,0.0,2.0
110009,2014,0.0,1.0
110012,2014,10.0,12.0
110013,2014,0.0,1.0
110015,2014,0.0,2.0
110020,2014,205.0,285.0
110028,2014,0.0,9.0
110030,2014,10.0,19.0
110045,2014,0.0,1.0
110149,2014,0.0,1.0
120020,2014,11.0,28.0
120040,2014,63.0,121.0
130006,2014,0.0,1.0
130014,2014,0.0,2.0
130020,2014,0.0,1.0
130030,2014,0.0,2.0
130060,2014,0.0,4.0
130080,2014,0.0,2.0
130083,2014,0.0,1.0
130120,2014,0.0,3.0
130160,2014,0.0,10.0
130165,2014,0.0,1.0
130170,2014,0.0,2.0
130200,2014,0.0,2.0
130250,2014,0.0,2.0
130260,2014,478.0,728.0
130280,2014,0.0,1.0
130340,2014,0.0,17.0
130353,2014,0.0,2.0
130356,2014,0.0,2.0
130370,2014,0.0,1.0
130380,2014,0.0,1.0
130400,2014,0.0,1.0
130406,2014,0.0,3.0
130420,2014,0.0,9.0
130426,2014,0.0,1.0
140005,2014,0.0,1.0
140010,2014,37.0,87.0
140028,2014,0.0,1.0
140030,2014,0.0,2.0
140040,2014,0.0,1.0
140047,2014,0.0,2.0
140060,2014,0.0,1.0
150010,2014,0.0,16.0
150013,2014,0.0,4.0
150040,2014,0.0,4.0
150060,2014,20.0,38.0
150070,2014,0.0,1.0
150080,2014,70.0,103.0
150120,2014,0.0,1.0
150125,2014,0.0,1.0
150140,2014,667.0,902.0
150145,2014,0.0,1.0
150170,2014,30.0,50.0
150172,2014,0.0,1.0
150175,2014,0.0,1.0
150178,2014,0.0,1.0
150180,2014,17.0,20.0
150210,2014,0.0,5.0
150215,2014,0.0,1.0
150220,2014,10.0,17.0
150230,2014,0.0,2.0
150240,2014,10.0,41.0
150270,2014,0.0,5.0
150280,2014,0.0,1.0
150290,2014,0.0,1.0
150293,2014,0.0,2.0
150310,2014,0.0,1.0
150320,2014,0.0,2.0
150330,2014,0.0,2.0
150360,2014,0.0,7.0
150380,2014,0.0,2.0
150400,2014,0.0,1.0
150420,2014,38.0,61.0
150430,2014,0.0,3.0
150440,2014,0.0,1.0
150442,2014,7.0,20.0
150450,2014,0.0,1.0
150460,2014,0.0,1.0
150470,2014,0.0,2.0
