cod_ibge7,cod_ibge6,municipio,municipio_norm,uf,uf_nome,regiao,mesorregiao,microrregiao
1100015,110001,Alta Floresta D'Oeste,ALTA FLORESTA D'OESTE,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100023,110002,Ariquemes,ARIQUEMES,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes
1100031,110003,Cabixi,CABIXI,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste
1100049,110004,Cacoal,CACOAL,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100056,110005,Cerejeiras,CEREJEIRAS,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste
1100064,110006,Colorado do Oeste,COLORADO DO OESTE,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste
1100072,110007,Corumbiara,CORUMBIARA,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste
1100080,110008,Costa Marques,COSTA MARQUES,RO,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim
1100098,110009,Espigão D'Oeste,ESPIGAO D'OESTE,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100106,110010,Guajará-Mirim,GUAJARA-MIRIM,RO,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim
1100114,110011,Jaru,JARU,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1100122,110012,Ji-Paraná,JI-PARANA,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1100130,110013,Machadinho D'Oeste,MACHADINHO D'OESTE,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes
1100148,110014,Nova Brasilândia D'Oeste,NOVA BRASILANDIA D'OESTE,RO,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste
1100155,110015,Ouro Preto do Oeste,OURO PRETO DO OESTE,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1100189,110018,Pimenta Bueno,PIMENTA BUENO,RO,Rondônia,Norte,Leste Rondoniense,Vilhena
1100205,110020,Porto Velho,PORTO VELHO,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho
1100254,110025,Presidente Médici,PRESIDENTE MEDICI,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1100262,110026,Rio Crespo,RIO CRESPO,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes
1100288,110028,Rolim de Moura,ROLIM DE MOURA,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100296,110029,Santa Luzia D'Oeste,SANTA LUZIA D'OESTE,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100304,110030,Vilhena,VILHENA,RO,Rondônia,Norte,Leste Rondoniense,Vilhena
1100320,110032,São Miguel do Guaporé,SAO MIGUEL DO GUAPORE,RO,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste
1100338,110033,Nova Mamoré,NOVA MAMORE,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho
1100346,110034,Alvorada D'Oeste,ALVORADA D'OESTE,RO,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste
1100379,110037,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100403,110040,Alto Paraíso,ALTO PARAISO,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes
1100452,110045,Buritis,BURITIS,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho
1100502,110050,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100601,110060,Cacaulândia,CACAULANDIA,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes
1100700,110070,Campo Novo de Rondônia,CAMPO NOVO DE RONDONIA,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho
1100809,110080,Candeias do Jamari,CANDEIAS DO JAMARI,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho
1100908,110090,Castanheiras,CASTANHEIRAS,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1100924,110092,Chupinguaia,CHUPINGUAIA,RO,Rondônia,Norte,Leste Rondoniense,Vilhena
1100940,110094,Cujubim,CUJUBIM,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho
1101005,110100,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1101104,110110,Itapuã do Oeste,ITAPUA DO OESTE,RO,Rondônia,Norte,Madeira-Guaporé,Porto Velho
1101203,110120,Ministro Andreazza,MINISTRO ANDREAZZA,RO,Rondônia,Norte,Leste Rondoniense,Cacoal
1101302,110130,Mirante da Serra,MIRANTE DA SERRA,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1101401,110140,Monte Negro,MONTE NEGRO,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes
1101435,110143,Nova União,NOVA UNIAO,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1101450,110145,Parecis,PARECIS,RO,Rondônia,Norte,Leste Rondoniense,Vilhena
1101468,110146,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE,RO,Rondônia,Norte,Leste Rondoniense,Colorado do Oeste
1101476,110147,Primavera de Rondônia,PRIMAVERA DE RONDONIA,RO,Rondônia,Norte,Leste Rondoniense,Vilhena
1101484,110148,São Felipe D'Oeste,SAO FELIPE D'OESTE,RO,Rondônia,Norte,Leste Rondoniense,Vilhena
1101492,110149,São Francisco do Guaporé,SAO FRANCISCO DO GUAPORE,RO,Rondônia,Norte,Madeira-Guaporé,Guajará-Mirim
1101500,110150,Seringueiras,SERINGUEIRAS,RO,Rondônia,Norte,Leste Rondoniense,Alvorada D'Oeste
1101559,110155,Teixeirópolis,TEIXEIROPOLIS,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1101609,110160,Theobroma,THEOBROMA,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1101708,110170,Urupá,URUPA,RO,Rondônia,Norte,Leste Rondoniense,Ji-Paraná
1101757,110175,Vale do Anari,VALE DO ANARI,RO,Rondônia,Norte,Leste Rondoniense,Ariquemes
