cod_ibge7,ano,pib_mil_reais,vab_adm_publica,vab_agropecuaria,vab_industria,vab_servicos,vab_total
1100015,2014,377799.0,126477.0,122731.0,22048.0,87751.0,359006.0
1100015,2015,421300.0,132243.0,146407.0,20643.0,98779.0,398072.0
1100015,2016,478217.0,142733.0,166143.0,31598.0,114541.0,455014.0
1100015,2017,485374.0,154926.0,169623.0,27342.0,108357.0,460249.0
1100015,2018,498980.0,155271.0,165892.0,26060.0,123502.0,470725.0
1100015,2019,495775.0,158973.0,162668.0,14468.0,130314.0,466424.0
1100015,2020,570242.0,160791.0,203394.0,20715.0,150233.0,535133.0
1100015,2021,734467.0,173122.0,311469.0,27845.0,172435.0,684871.0
1100015,2022,919520.0,,,,,
1100015,2023,1046343.0,,,,,
1100023,2014,1921532.0,487603.0,110862.0,347522.0,779941.0,1725928.0
1100023,2015,2037799.0,524470.0,129657.0,320017.0,846188.0,1820331.0
1100023,2016,2184346.0,588975.0,145069.0,354287.0,879555.0,1967886.0
1100023,2017,2287910.0,634591.0,165217.0,326362.0,930388.0,2056557.0
1100023,2018,2464704.0,674541.0,163121.0,341001.0,1034088.0,2212750.0
1100023,2019,2579278.0,703757.0,170831.0,284066.0,1136245.0,2294898.0
1100023,2020,2817331.0,710266.0,199723.0,404715.0,1206982.0,2521686.0
1100023,2021,3211294.0,782306.0,293001.0,407675.0,1307977.0,2790958.0
1100023,2022,3809355.0,,,,,
1100023,2023,4383815.0,,,,,
1100031,2014,113477.0,34513.0,49746.0,4658.0,20211.0,109128.0
1100031,2015,116565.0,36350.0,50789.0,3271.0,20868.0,111279.0
1100031,2016,133342.0,40043.0,59081.0,4625.0,24094.0,127843.0
1100031,2017,138110.0,43150.0,63022.0,4771.0,21875.0,132817.0
1100031,2018,140503.0,42164.0,62337.0,5179.0,25172.0,134852.0
1100031,2019,139976.0,43656.0,61501.0,3268.0,25553.0,133978.0
1100031,2020,167153.0,44645.0,81177.0,5436.0,28659.0,159917.0
1100031,2021,238414.0,46579.0,136659.0,8117.0,35866.0,227221.0
1100031,2022,289783.0,,,,,
1100031,2023,300832.0,,,,,
1100049,2014,1660650.0,416873.0,149459.0,186452.0,729112.0,1481895.0
1100049,2015,1794478.0,443824.0,166097.0,203707.0,784955.0,1598583.0
1100049,2016,1947283.0,485259.0,188005.0,231791.0,847298.0,1752352.0
1100049,2017,2082761.0,521368.0,255060.0,224442.0,876362.0,1877232.0
1100049,2018,2175840.0,548595.0,212493.0,219209.0,970704.0,1951001.0
1100049,2019,2261930.0,564316.0,193077.0,178279.0,1072272.0,2007943.0
1100049,2020,2518845.0,575588.0,236215.0,275505.0,1157094.0,2244402.0
1100049,2021,2792506.0,629109.0,341315.0,236801.0,1200654.0,2407879.0
1100049,2022,3195489.0,,,,,
1100049,2023,3848468.0,,,,,
1100056,2014,392417.0,87653.0,50427.0,23747.0,170216.0,332043.0
1100056,2015,397736.0,92834.0,47373.0,21174.0,172194.0,333575.0
1100056,2016,408194.0,99499.0,52891.0,22493.0,175161.0,350044.0
1100056,2017,439245.0,107819.0,61940.0,21925.0,186474.0,378158.0
1100056,2018,470647.0,109796.0,61973.0,21638.0,208479.0,401886.0
1100056,2019,506494.0,112419.0,70992.0,16155.0,230264.0,429829.0
1100056,2020,600630.0,115601.0,94758.0,23580.0,276768.0,510708.0
1100056,2021,743062.0,123365.0,151690.0,27433.0,308668.0,611156.0
1100056,2022,903099.0,,,,,
1100056,2023,1006389.0,,,,,
1100064,2014,273759.0,89407.0,64797.0,28333.0,74563.0,257100.0
1100064,2015,285372.0,94305.0,68899.0,24493.0,79470.0,267167.0
1100064,2016,306518.0,100803.0,72685.0,28557.0,86000.0,288044.0
1100064,2017,328377.0,109525.0,78346.0,29208.0,91683.0,308762.0
1100064,2018,330232.0,105915.0,73479.0,26046.0,103423.0,308862.0
1100064,2019,334922.0,108895.0,72324.0,20643.0,110991.0,312853.0
1100064,2020,366922.0,111034.0,88923.0,24321.0,118570.0,342847.0
1100064,2021,424846.0,114881.0,123524.0,28827.0,124601.0,391833.0
1100064,2022,514219.0,,,,,
1100064,2023,580899.0,,,,,
1100072,2014,186868.0,47048.0,97414.0,9622.0,25679.0,179763.0
1100072,2015,190906.0,50863.0,96286.0,9287.0,26348.0,182785.0
1100072,2016,236624.0,55419.0,132177.0,10055.0,30225.0,227876.0
1100072,2017,332804.0,57591.0,227123.0,10270.0,27788.0,322772.0
1100072,2018,320416.0,57122.0,212545.0,9813.0,30557.0,310037.0
1100072,2019,349289.0,58603.0,238296.0,8466.0,33376.0,338741.0
1100072,2020,268353.0,56907.0,155648.0,10846.0,34753.0,258154.0
1100072,2021,396740.0,60535.0,260728.0,14014.0,45392.0,380669.0
1100072,2022,473845.0,,,,,
1100072,2023,509566.0,,,,,
1100080,2014,168605.0,75880.0,48665.0,6318.0,32675.0,163538.0
1100080,2015,187170.0,79922.0,59755.0,4493.0,35970.0,180140.0
1100080,2016,206101.0,91023.0,62562.0,6632.0,38856.0,199073.0
1100080,2017,212879.0,98159.0,62852.0,5819.0,38854.0,205684.0
1100080,2018,230151.0,108861.0,63525.0,7206.0,42875.0,222468.0
1100080,2019,238796.0,113592.0,67535.0,4289.0,45160.0,230576.0
1100080,2020,261944.0,117458.0,80684.0,6204.0,48322.0,252668.0
1100080,2021,316672.0,128057.0,116783.0,6683.0,53392.0,304915.0
1100080,2022,349796.0,,,,,
1100080,2023,413943.0,,,,,
1100098,2014,462389.0,143538.0,98213.0,50675.0,133700.0,426126.0
1100098,2015,483962.0,153050.0,101963.0,39940.0,146204.0,441156.0
1100098,2016,543318.0,170741.0,115439.0,55554.0,159456.0,501189.0
1100098,2017,566361.0,186837.0,124625.0,47022.0,163761.0,522246.0
1100098,2018,606072.0,194761.0,120026.0,59389.0,183007.0,557184.0
1100098,2019,624787.0,201285.0,128213.0,47895.0,193894.0,571288.0
1100098,2020,666321.0,202151.0,137802.0,54519.0,213565.0,608036.0
1100098,2021,773372.0,217511.0,202434.0,54682.0,221162.0,695789.0
1100098,2022,921382.0,,,,,
1100098,2023,1023973.0,,,,,
1100106,2014,646154.0,218874.0,36456.0,31454.0,273409.0,560192.0
1100106,2015,682458.0,230195.0,44152.0,24098.0,287725.0,586170.0
1100106,2016,740352.0,250779.0,49929.0,29306.0,313276.0,643290.0
1100106,2017,775195.0,275442.0,47074.0,25188.0,324254.0,671956.0
1100106,2018,837459.0,284832.0,46931.0,29042.0,362004.0,722809.0
1100106,2019,892778.0,297752.0,49489.0,24156.0,394407.0,765804.0
1100106,2020,984614.0,300982.0,59384.0,41650.0,443136.0,845152.0
1100106,2021,1054255.0,319235.0,77442.0,40538.0,436344.0,873559.0
1100106,2022,1057883.0,,,,,
1100106,2023,1145034.0,,,,,
1100114,2014,1130660.0,261895.0,141213.0,161796.0,448608.0,1013512.0
1100114,2015,1207965.0,273954.0,147580.0,180885.0,476423.0,1078842.0
1100114,2016,1313922.0,294654.0,166004.0,228607.0,498283.0,1187548.0
1100114,2017,1354733.0,316105.0,172325.0,221454.0,505476.0,1215359.0
1100114,2018,1484555.0,326104.0,174427.0,232366.0,590340.0,1323238.0
1100114,2019,1500855.0,338790.0,169612.0,168940.0,646846.0,1324188.0
1100114,2020,1665151.0,343815.0,223881.0,195777.0,712670.0,1476144.0
1100114,2021,1764718.0,379860.0,280711.0,177623.0,688455.0,1526648.0
1100114,2022,2113515.0,,,,,
1100114,2023,2515558.0,,,,,
1100122,2014,2651246.0,579222.0,120780.0,334781.0,1240057.0,2274840.0
1100122,2015,2755755.0,613912.0,129487.0,347806.0,1270119.0,2361325.0
1100122,2016,2985775.0,668470.0,140867.0,419459.0,1359864.0,2588661.0
1100122,2017,3062162.0,732031.0,142861.0,365557.0,1412419.0,2652867.0
1100122,2018,3466810.0,770438.0,141765.0,481062.0,1621256.0,3014520.0
1100122,2019,3783206.0,800663.0,140589.0,519940.0,1800290.0,3261482.0
1100122,2020,4057176.0,795866.0,155961.0,589497.0,1949827.0,3491151.0
1100122,2021,4230355.0,876139.0,206345.0,502238.0,1926052.0,3510773.0
1100122,2022,4934532.0,,,,,
