cod_ibge7,pct_esgoto_rede,pct_agua_rede,pct_lixo_coletado
1100015,0.47,26.48,61.48
1100023,1.99,54.34,90.42
1100031,1.58,39.3,61.06
1100049,67.19,80.07,85.66
1100056,57.99,49.48,87.04
1100064,2.62,70.81,77.25
1100072,0.7,20.99,47.89
1100080,0.05,19.35,63.57
1100098,6.6,44.87,74.29
1100106,9.01,40.46,78.14
1100114,1.78,46.12,80.5
1100122,7.57,59.95,93.17
1100130,3.13,40.39,56.7
1100148,7.0,36.12,49.5
1100155,2.23,56.66,80.2
1100189,9.44,76.36,85.77
1100205,22.99,36.72,91.9
1100254,5.21,50.1,67.15
1100262,1.28,9.92,43.6
1100288,3.62,66.36,87.06
1100296,2.86,33.61,50.73
1100304,4.91,92.88,94.78
1100320,1.81,15.69,55.72
1100338,0.82,9.27,49.22
1100346,42.52,52.87,60.39
1100379,0.62,19.8,44.82
1100403,0.14,8.8,54.23
1100452,0.45,15.76,69.58
1100502,0.32,27.2,46.07
1100601,32.97,13.96,47.07
1100700,0.26,19.02,32.0
1100809,1.2,53.47,69.29
1100908,,30.3,37.9
1100924,0.87,61.7,66.72
1100940,0.12,10.72,63.42
1101005,0.03,2.01,33.91
1101104,0.55,7.77,69.9
1101203,5.58,28.24,48.76
1101302,7.78,26.34,57.41
1101401,0.17,33.91,47.83
1101435,0.9,17.76,31.08
1101450,4.12,30.36,39.27
1101468,5.27,47.57,62.57
1101476,0.26,58.69,65.93
1101484,,32.42,42.46
1101492,0.26,4.83,60.98
1101500,14.53,21.39,49.0
1101559,0.32,10.3,50.82
1101609,0.23,11.91,36.08
1101708,3.59,30.86,52.25
1101757,0.07,11.57,46.0
1101807,0.04,,44.93
1200013,0.85,27.15,55.46
1200054,6.6,56.55,62.98
1200104,33.49,61.3,66.99
1200138,3.74,40.21,47.7
1200179,1.12,39.13,44.15
1200203,8.59,66.58,82.98
1200252,4.66,61.94,70.96
1200302,3.4,17.29,54.91
1200328,3.44,46.28,47.73
1200336,1.29,59.65,65.34
1200344,15.45,49.85,52.75
1200351,1.71,37.1,41.89
1200385,5.85,40.78,63.54
1200393,5.17,51.97,50.36
1200401,68.19,58.99,94.66
1200427,1.93,58.14,55.09
1200435,4.24,47.54,47.92
1200450,0.59,29.74,68.04
1200500,17.24,41.21,63.4
1200609,2.53,39.14,59.51
1200708,21.38,47.22,58.87
1200807,1.4,17.55,54.97
1300029,3.88,63.57,58.59
1300060,1.86,66.23,49.49
1300086,3.32,43.74,61.44
1300102,3.95,66.8,68.27
1300144,1.04,30.68,53.07
1300201,1.95,43.63,46.43
1300300,7.26,25.46,49.65
1300409,9.76,54.97,63.98
1300508,3.13,60.93,35.3
1300607,2.7,62.44,61.11
1300631,2.9,53.56,44.05
1300680,4.01,56.6,50.7
1300706,7.49,46.41,40.45
