grupo;nome_grupo;cid10
1;Doencas preveniveis por imunizacao e condicoes sensiveis;"A37, A36, A33 a A35, B26, B06, B05, A95, B16, G00.0, A17.0, A19, A15.0 a A15.3, A16.0, A16.2, A15.4 a A15.9, A16.3 a A16.9, A17.1 a A17.9, A18, I00 a I02, A51 a A53, B50 a B54, B77"
2;Gastroenterites infecciosas e complicacoes;"E86, A00 a A09"
3;Anemia;"D50"
4;Deficiencias nutricionais;"E40 a E46, E50 a E64"
5;Infeccoes de ouvido, nariz e garganta;"H66, J00, J01, J02, J03, J06, J31"
6;Pneumonias bacterianas;"J13, J14, J15.3, J15.4, J15.8, J15.9, J18.1"
7;Asma;"J45, J46"
8;Doencas pulmonares;"J20, J21, J40, J41, J42, J43, J47, J44"
9;Hipertensao;"I10, I11"
10;Angina;"I20"
11;Insuficiencia cardiaca;"I50, J81"
12;Doencas cerebrovasculares;"I63 a I67, I69, G45 a G46"
13;Diabetes mellitus;"E10.0 a E10.9, E11.0 a E11.9, E12.0 a E12.9, E13.0 a E13.9, E14.0 a E14.9"
14;Epilepsias;"G40, G41"
15;Infeccao no rim e trato urinario;"N10, N11, N12, N30, N34, N39.0"
16;Infeccao da pele e tecido subcutaneo;"A46, L01, L02, L03, L04, L08"
17;Doenca inflamatoria orgaos pelvicos femininos;"N70, N71, N72, N73, N75, N76"
18;Ulcera gastrointestinal;"K25 a K28, K92.0, K92.1, K92.2"
19;Doencas relacionadas ao pre-natal e parto;"O23, A50, P35.0"
